Date,Close,High,Low,Open,Volume
1/16/2009,14.41939926,14.56571539,14.00971604,14.36087309,79634100
1/20/2009,13.519557,14.35355661,13.43908439,14.23650289,89873000
1/21/2009,14.17797565,14.22918727,13.50492409,13.80487224,68340900
1/22/2009,12.51729774,13.30008584,12.48803396,13.20497993,222436600
1/23/2009,12.58313847,12.7952953,12.2539279,12.41487451,117020600
1/26/2009,12.89771652,13.02940075,12.60508567,12.64898134,92476500
1/27/2009,12.9196682,13.146457,12.75140558,13.00745818,61695000
1/28/2009,13.19765949,13.39518437,12.99281728,13.02207965,64145500
1/29/2009,12.86845684,13.13913991,12.846509,13.00745705,49192800
1/30/2009,12.50998497,13.01477422,12.50998497,12.97819448,62370900
2/2/2009,13.0440321,13.26350488,12.43682258,12.45877042,88871700
2/3/2009,13.53418922,13.61466323,12.87576949,13.05866394,86865100
2/4/2009,13.62929535,13.89997978,13.53419084,13.56345462,75618000
2/5/2009,13.9292469,14.00240359,13.35129957,13.54151003,75195200
2/6/2009,14.38282299,14.58034938,13.94387592,14.017034,86746000
2/9/2009,14.22187519,14.46329585,14.09019094,14.36818994,52196400
2/10/2009,13.75366211,14.48523991,13.68050545,14.08287268,83953200
2/11/2009,14.05360699,14.25844925,13.84145018,13.85608207,58599000
2/12/2009,14.09018803,14.1340823,13.56345253,13.8780298,75323200
2/13/2009,13.96582127,14.24382024,13.92924293,14.0975055,47416000
2/17/2009,13.32498264,13.626986,13.17766331,13.6196199,75853300
2/18/2009,13.34707928,13.59015516,13.25868741,13.42073753,54946900
2/19/2009,13.19239712,13.53859576,13.11873744,13.4796683,49195600
2/20/2009,13.25868797,13.39864118,13.00824598,13.08927174,69413800
2/23/2009,12.67677784,13.36917636,12.63994871,13.27341979,70803400
2/24/2009,12.64731598,12.77990309,12.05067538,12.54419329,122674500
2/25/2009,12.49263,12.69887677,12.12433311,12.52946054,105894600
2/26/2009,12.09487629,12.58102833,12.09487629,12.55893,83219500
2/27/2009,11.89599323,12.16853364,11.85916409,11.99911735,93428000
3/2/2009,11.63081837,11.96965161,11.57925702,11.75603939,80602100
3/3/2009,11.69711018,11.9622837,11.52032782,11.80759967,80476600
3/4/2009,11.8738966,12.08014203,11.7044796,11.8738966,69285100
3/5/2009,11.24778557,11.69710745,11.24778557,11.68237524,89708500
3/6/2009,11.25515366,11.50559567,10.95315029,11.3067157,92821400
3/9/2009,11.15939713,11.59398763,11.12256799,11.19622696,66479100
3/10/2009,12.13906479,12.24218887,11.2330548,11.32144597,95184200
3/11/2009,12.60312366,12.66941724,12.10223953,12.24955748,84522200
3/12/2009,12.52945995,12.55155827,12.13906476,12.52945995,93694100
3/13/2009,12.2642889,12.5589262,11.91809025,12.50736485,82965800
3/16/2009,11.96965027,12.49263124,11.96228416,12.38950855,67028900
3/17/2009,12.44843483,12.44843483,11.97701525,12.02121049,62481000
3/18/2009,12.49263,12.68414456,12.2274572,12.54419275,70710700
3/19/2009,12.62521648,12.85356156,12.46316636,12.79463412,58994600
3/20/2009,12.56629181,13.00088233,12.43370468,12.7578064,81725500
3/23/2009,13.5017643,13.69327885,12.75043828,12.79463492,71600000
3/24/2009,13.20712757,13.41337294,13.14083401,13.28815334,50044100
3/25/2009,13.17029762,13.48703321,12.90512479,13.24395729,73927100
3/26/2009,13.87006283,13.90689196,13.34708184,13.38391098,63775100
3/27/2009,13.35445118,13.71538355,13.2955237,13.65645607,47670400
3/30/2009,12.87565708,13.08190382,12.72097308,13.06717161,49633000
3/31/2009,13.53122807,13.8405975,13.09663763,13.13346676,92423300
4/1/2009,14.22362232,14.26045285,13.39127215,13.42810127,96438900
4/2/2009,14.20889854,14.65085381,13.99528562,14.36358261,99082300
4/3/2009,13.81113529,14.10577256,13.57542547,14.09104035,81858400
4/6/2009,13.81850052,13.81850052,13.45756971,13.65645038,47476100
4/7/2009,13.81850052,14.09840556,13.72274253,13.81850052,65815200
4/8/2009,14.13524055,14.45197623,13.96582285,13.97318896,56408900
4/9/2009,14.488801,14.51089932,14.15733321,14.32675086,55759600
4/13/2009,14.42987633,14.62139093,14.26782616,14.50353601,44444700
4/14/2009,14.25308704,14.40040493,13.99527899,14.31938058,63796300
4/15/2009,13.87006283,14.17943232,13.63435301,14.14996789,72725500
4/16/2009,14.55509567,14.56982789,13.98791803,14.11313905,67688700
4/17/2009,14.14260292,14.50353375,13.99528358,14.50353375,61398500
4/20/2009,13.70801258,13.95845461,13.67854815,13.91425797,62937200
4/21/2009,13.97318077,14.05420652,13.6785436,13.69327581,60928300
4/22/2009,13.83323669,14.13524014,13.77430923,13.81850448,59401000
4/23/2009,13.93635464,13.95108685,13.60488687,13.93635464,86116300
4/24/2009,15.40217686,15.61578974,14.36357967,14.59928947,168478500
4/27/2009,15.02651691,15.33588644,14.93812642,15.13700573,68219600
4/28/2009,14.68031025,14.93075218,14.5771876,14.91601997,76685200
4/29/2009,14.9160223,15.38744182,14.77606911,14.81289963,79301600
4/30/2009,14.92339039,15.54212929,14.73924194,15.17383239,87439900
5/1/2009,14.90866566,14.98969146,14.62876049,14.87183651,63224500
5/4/2009,14.87182808,15.02651209,14.71714266,15.00441518,54313400
5/5/2009,14.57719898,14.90866551,14.46670874,14.83500581,66835500
5/6/2009,14.57719898,14.78344445,14.44461181,14.77607834,59639100
5/7/2009,14.23099613,14.72451418,14.09840898,14.70241585,68727200
5/8/2009,14.30465412,14.46670428,14.09840732,14.33411715,67597600
5/11/2009,14.23099613,14.53299957,14.00265238,14.14260564,63762600
5/12/2009,14.6508522,14.77607322,14.34148271,14.37094714,71966800
5/13/2009,14.54772377,14.73187217,14.48879634,14.67294474,49281700
5/14/2009,14.7760725,14.90129352,14.58455793,14.60665625,54539500
5/15/2009,14.8939209,15.1001676,14.71713862,14.82762737,61289900
5/18/2009,15.17383194,15.17383194,14.90865773,14.9970496,46073800
5/19/2009,15.05523205,15.37397919,15.01075613,15.203487,51368300
5/20/2009,15.10712433,15.33691969,14.98852091,15.129363,47450700
5/21/2009,14.69200706,14.99592839,14.4622132,14.92921382,58232800
5/22/2009,14.64011288,14.95144698,14.43255634,14.77354198,37318700
5/26/2009,15.07746696,15.15900731,14.41773558,14.48445015,44991700
5/27/2009,14.92179775,15.27019633,14.87732185,15.01075097,42892900
5/28/2009,15.15900993,15.29243768,14.86250006,15.0626438,45480800
5/29/2009,15.48517323,15.52223768,15.04782259,15.2405535,46134900
6/1/2009,15.86321926,15.93734674,15.46293315,15.56671077,57317100
6/2/2009,15.86321926,16.29315693,15.71496572,15.83356912,48935700
6/3/2009,16.10783577,16.13007443,15.7816772,15.79650156,56039600
6/4/2009,16.18194962,16.23383837,15.99663182,16.13747374,42330000
6/5/2009,16.41175652,16.53777277,16.16713689,16.27832737,59579200
6/8/2009,16.34503937,16.54518305,16.03370522,16.29315058,49000600
6/9/2009,16.36727905,16.54518409,16.21902415,16.35245328,50887700
6/10/2009,16.71567726,16.76756747,16.3969316,16.43399462,61297200
6/11/2009,16.92323112,17.24197815,16.73050033,16.7453261,65124600
6/12/2009,17.29386902,17.33093204,16.85651859,16.97512196,50963500
6/15/2009,17.36058807,17.44954132,17.06407959,17.21974602,69089600
6/16/2009,17.38282967,17.87206909,17.37541678,17.39765403,105295600
6/17/2009,17.5533123,17.65708988,17.1752636,17.41988318,86483100
6/18/2009,17.41988564,17.56072766,17.27163072,17.50883886,58852200
6/19/2009,17.84240723,18.0425509,17.60520054,17.82016998,115459000
6/22/2009,17.25680923,17.75346143,17.23457057,17.75346143,71291600
6/23/2009,17.30128288,17.53848962,17.20491676,17.33093302,56752700
6/24/2009,17.39764977,17.60520639,17.31611082,17.3828254,54287700
6/25/2009,17.63485527,17.73121997,17.19750483,17.36799699,57724300
6/26/2009,17.30869102,17.56072347,17.28645237,17.47177026,65126400
6/29/2009,17.68675232,17.81276863,17.45695696,17.49402141,62854900
6/30/2009,17.62003136,17.9684286,17.51625234,17.76828487,66452400
7/1/2009,17.82017708,18.01290653,17.76087397,17.82758855,54908400
7/2/2009,17.32351875,17.82017081,17.20491399,17.61261424,65422200
7/6/2009,17.19751167,17.25681338,16.95289196,17.20492315,49207700
7/7/2009,16.70085716,17.15303208,16.64896694,17.10855616,52842500
7/8/2009,16.72309494,16.81946109,16.30798304,16.53777695,73023400
7/9/2009,16.63413811,16.90840786,16.58224931,16.78980449,46981200
7/10/2009,16.59706688,16.70825872,16.41916191,16.44881344,43229200
7/13/2009,17.21974373,17.26422106,16.41175735,16.61931396,67584000
7/14/2009,17.13079071,17.21232964,16.94547277,17.19750528,45448700
7/15/2009,17.87947655,17.87947655,17.46436332,17.60520536,67238700
7/16/2009,18.11668015,18.11668015,17.68674263,17.73863142,64555100
7/17/2009,18.00549507,18.12409846,17.86465301,18.08703402,52860100
7/20/2009,18.18340111,18.18340111,17.90171698,18.11668652,47798000
7/21/2009,18.40577507,18.40577507,18.06479079,18.30199749,52028400
7/22/2009,18.38353539,18.45766283,18.16856735,18.30940936,66192500
7/23/2009,18.94690895,19.06551234,18.4131937,18.47990829,106060500
7/24/2009,17.38282967,17.70898834,16.90841461,17.50143308,215135700
7/27/2009,17.13079071,17.38282322,16.97512291,17.37541033,80950000
7/28/2009,17.39764977,17.45695146,16.97512504,17.04183962,70288400
7/29/2009,17.64226341,17.72380374,17.30127916,17.59037463,73626900
7/30/2009,17.64968109,18.10927023,17.57555363,17.93877805,67820000
7/31/2009,17.43471336,17.84241229,17.41988759,17.62003132,54258200
8/3/2009,17.664505,17.68674367,17.41988539,17.65709212,46902900
8/4/2009,17.62003136,17.63485713,17.44212629,17.55331678,49218300
8/5/2009,17.64968109,17.97584108,17.63485673,17.67191975,53310300
8/6/2009,17.39023399,17.77569563,17.24939338,17.73863261,59686000
8/7/2009,17.46436119,17.65709201,17.41988528,17.60520321,46169700
8/10/2009,17.36058807,17.4569528,17.27163482,17.39023821,35261900
8/11/2009,17.14561653,17.34576026,17.08631484,17.28645857,33615800
8/12/2009,17.44213104,17.7164009,17.07149503,17.14562111,61972300
8/13/2009,17.50884056,17.67933274,17.34575986,17.51625203,38954500
8/14/2009,17.56072998,17.64226892,17.42730083,17.50884118,46330200
8/17/2009,17.23456192,17.49400722,17.21973615,17.2864507,42474400
8/18/2009,17.57748222,17.62966282,17.34639613,17.36130528,38878900
8/19/2009,17.62965012,17.68183067,17.3314745,17.3314745,41821300
8/20/2009,17.64456177,17.79365031,17.54765521,17.5923812,39505900
8/21/2009,18.19618607,18.20364063,17.71910503,17.83837529,69011400
8/24/2009,18.36763573,18.43472542,18.09927837,18.19618492,54180900
8/25/2009,18.36763573,18.50181511,18.23345634,18.33781888,43980300
8/26/2009,18.30054474,18.44963325,18.2036382,18.33036301,41079000
8/27/2009,18.40491104,18.47200074,18.11418852,18.19618736,45495600
8/28/2009,18.39746094,19.00126699,18.34528036,18.68818211,55808000
8/31/2009,18.37509155,18.52418009,18.10673418,18.31545642,49592800
9/1/2009,17.89055252,18.44217772,17.81600827,18.1514567,62608500
9/2/2009,17.78619194,17.99491415,17.72655682,17.75637367,40771300
9/3/2009,17.97255707,17.99491936,17.71165281,17.82346851,34120000
9/4/2009,18.35273361,18.48691162,17.95019533,17.9576499,44999700
9/8/2009,18.5018158,18.51672493,18.19618559,18.35272869,53737100
9/9/2009,18.47199821,18.59872303,18.38999938,18.44217994,49900300
9/10/2009,18.63599586,18.67326729,18.37509164,18.48690733,46256000
9/11/2009,18.5316391,18.7627251,18.49436625,18.58381967,54303500
9/14/2009,18.63599586,18.70308556,18.36763707,18.37509164,42806800
