Timestamp,Open,High,Low,Close,Adj Close,Volume
5/22/2023,9050,9250,9025,9150,8857.250977,391523200
5/29/2023,9200,9325,9050,9200,8905.651367,983553000
6/5/2023,9050,9200,9050,9150,8857.250977,298267500
6/12/2023,9175,9175,8975,9000,8712.050781,321949300
6/19/2023,9025,9150,8950,9075,8784.651367,230160900
6/26/2023,9050,9150,9025,9075,8784.651367,145081000
7/3/2023,9150,9150,9025,9050,8760.451172,198813700
7/10/2023,9100,9250,9025,9175,8881.451172,288605500
7/17/2023,9200,9250,9100,9100,8808.851563,241130200
7/24/2023,9175,9400,9100,9125,8833.051758,469898000
7/31/2023,9175,9300,9100,9275,8978.251953,283247600
8/7/2023,9275,9450,9200,9350,9050.852539,341562300
8/14/2023,9325,9375,9175,9175,8881.451172,265645600
8/21/2023,9150,9325,9150,9200,8905.651367,277942400
8/28/2023,9275,9300,9100,9225,8929.851563,320526000
9/4/2023,9250,9250,9050,9125,8833.051758,286619000
9/11/2023,9100,9125,9000,9000,8712.050781,404004600
9/18/2023,9000,9175,8975,9000,8712.050781,226815800
9/25/2023,9000,9100,8825,9075,8784.651367,370512700
10/2/2023,9075,9250,9025,9050,8760.451172,380937600
10/9/2023,9000,9125,8925,9100,8808.851563,319707400
10/16/2023,9050,9075,8725,8850,8566.849609,315222900
10/23/2023,8775,8950,8700,8850,8566.849609,299319900
10/30/2023,8800,9050,8600,9050,8760.451172,333394400
11/6/2023,9000,9050,8825,8875,8591.049805,210136600
11/13/2023,8900,9075,8875,8875,8591.049805,277154400
11/20/2023,8825,8975,8775,8875,8591.049805,282832600
11/27/2023,8875,9025,8850,8925,8639.450195,464412100
12/4/2023,8950,8950,8675,8750,8510.461914,390073600
12/11/2023,8700,9225,8675,9200,8948.142578,641208300
12/18/2023,9125,9350,9125,9325,9069.720703,290678900
12/25/2023,9325,9450,9325,9400,9142.667969,214552700
1/1/2024,9400,9625,9325,9575,9312.876953,257836400
1/8/2024,9600,9750,9550,9725,9458.770508,308657900
1/15/2024,9700,9775,9525,9625,9361.508789,339669000
1/22/2024,9450,9600,9300,9550,9288.561523,392897400
1/29/2024,9500,9800,9475,9575,9312.876953,437233600
2/5/2024,9750,9800,9625,9800,9531.716797,268553900
2/12/2024,9750,10000,9700,9875,9604.664063,426439800
2/19/2024,9850,10025,9725,9800,9531.716797,302830600
2/26/2024,9750,10000,9750,9750,9483.085938,319793600
3/4/2024,9900,10300,9775,10150,9872.135742,351511600
