Timestamp,Open,High,Low,Close,Adj Close,Volume
6/3/2019,5820,5820,5820,5820,5203.292969,0
6/4/2019,5820,5820,5820,5820,5203.292969,0
6/5/2019,5820,5820,5820,5820,5203.292969,0
6/6/2019,5820,5820,5820,5820,5203.292969,0
6/7/2019,5820,5820,5820,5820,5203.292969,0
6/10/2019,6000,6190,5810,5880,5256.935059,179238000
6/11/2019,5900,5960,5845,5910,5283.756836,72901000
6/12/2019,5840,5900,5820,5845,5225.643555,69255500
6/13/2019,5885,5885,5790,5805,5189.882813,78802500
6/14/2019,5845,5845,5790,5800,5185.412109,57220500
6/17/2019,5810,5840,5790,5795,5180.941406,83624000
6/18/2019,5795,5900,5795,5900,5274.816895,78788000
6/19/2019,5900,5960,5890,5940,5310.577637,66944500
6/20/2019,5900,5940,5805,5910,5283.756836,59504500
6/21/2019,5910,5935,5840,5880,5256.935059,144149000
6/24/2019,5895,5900,5865,5875,5252.465332,30084000
6/25/2019,5930,5960,5875,5910,5283.756836,40561500
6/26/2019,5940,5940,5860,5865,5243.524902,59334500
6/27/2019,5850,5935,5805,5935,5306.107422,77525000
6/28/2019,5980,5995,5960,5995,5359.749023,80919000
7/1/2019,5995,6025,5965,5990,5355.279785,56612500
7/2/2019,5990,6000,5950,6000,5364.220703,48563500
7/3/2019,5950,6000,5940,6000,5364.220703,43640000
7/4/2019,6000,6010,5965,5990,5355.279785,28224500
7/5/2019,6020,6020,5970,5970,5337.398926,32722500
7/8/2019,5935,5960,5865,5880,5256.935059,38361000
7/9/2019,5870,6000,5870,6000,5364.220703,47740500
7/10/2019,6000,6040,5995,6000,5364.220703,52183500
7/11/2019,6020,6025,5980,6025,5386.569824,34279500
7/12/2019,6000,6030,5995,6010,5373.160156,29838000
7/15/2019,6060,6115,6035,6105,5458.09375,61453500
7/16/2019,6080,6105,6070,6085,5440.212402,38075000
7/17/2019,6080,6150,6045,6150,5498.325195,45487000
7/18/2019,6100,6170,6055,6145,5493.85498,43625500
7/19/2019,6195,6210,6150,6200,5543.026367,43973500
7/22/2019,6260,6290,6200,6290,5623.490723,37314500
7/23/2019,6240,6290,6205,6235,5574.317871,39129500
7/24/2019,6260,6265,6165,6250,5587.728516,51343500
7/25/2019,6270,6275,6200,6250,5587.728516,53477500
7/26/2019,6250,6250,6190,6195,5538.556152,51797500
7/29/2019,6220,6230,6160,6190,5534.086426,68509500
7/30/2019,6205,6250,6190,6220,5560.907715,38225500
7/31/2019,6190,6240,6180,6190,5534.086426,64129000
8/1/2019,6190,6270,6185,6210,5551.967285,78228000
8/2/2019,6160,6205,6160,6165,5511.73584,62989500
8/5/2019,6215,6215,6000,6000,5364.220703,90924000
8/6/2019,5880,5955,5765,5880,5256.935059,183296000
